요일_순위_제목,Tag
mon_1_만남어플 중독,"#드라마, #고자극스릴러, #고자극드라마, #자극적인, #절망적인, #치명적인, #현대, #유혹남, #나쁜남자, #평범녀, #소심녀, #미스터리, #범죄, #성인웹툰"
mon_2_참교육,"#액션, #사이다, #학원액션, #자극적인, #사회고발, #참교육, #블루스트링, #학원물, #다크히어로, #먼치킨"
mon_3_환생천마,"#무협/사극, #사이다, #동양, #환생, #액션, #고인물, #환골탈태, #동양풍판타지, #판무, #먼치킨, #소설원작"
mon_4_왕과의 야행,"#로맨스, #동양풍로맨스, #자극적인, #동양, #왕족/귀족, #나쁜남자, #공식미녀, #사연녀, #고자극로맨스, #궁중로맨스, #성인웹툰"
mon_5_절대검감,"#무협/사극, #동양, #이능력, #모험, #액션, #성장물, #환골탈태, #회귀, #판무, #복수극, #먼치킨, #소설원작"
mon_6_똑 닮은 딸,"#스릴러, #명작, #고자극드라마, #자극적인, #시리어스, #미스터리, #범죄, #2020 지상최대공모전, #서스펜스, #복수극"
mon_7_백수세끼,"#드라마, #리얼로맨스, #공감, #캠퍼스, #오피스, #평범남, #평범녀, #재회, #음식&요리, #감성드라마"
mon_8_마음의소리(였던 것),"#개그, #열혈병맛개그, #공감, #병맛, #가벼운, #개그, #요즘핫한추천작, #지금추천작, #4차원"
mon_9_소녀의 세계,"#드라마, #설렘폭발, #공감, #우정, #청춘, #외유내강녀, #명랑녀, #햇살녀, #햇살캐, #힐링, #하이틴, #학원로맨스, #직진남, #청춘로맨스, #삼각관계, #까칠남, #감성드라마"
mon_10_귀촌리,"#스릴러, #고자극스릴러, #자극적인, #시리어스, #피카레스크, #범죄, #오컬트, #서스펜스, #두뇌싸움, #괴담"
mon_11_시한부 천재가 살아남는 법,"#무협/사극, #정통무협, #시리어스, #동양, #모험, #고인물, #힘숨찐, #복수극, #먼치킨, #소설원작"
mon_12_십이지소녀,"#드라마, #하렘, #러브코미디, #동양풍로맨스, #이능력, #청춘, #로맨스, #판타지, #성장물, #학원물, #성장드라마"
mon_13_회귀한 공작가의 막내도련님은 암살자,"#판타지, #레드아이스 스튜디오, #액션판타지, #왕족/귀족, #아카데미물, #고인물, #회귀, #복수극, #먼치킨, #소설원작"
mon_14_버림받은 왕녀의 은밀한 침실,"#로맨스, #자극적인, #치명적인, #서양, #왕족/귀족, #무심남, #순정남, #계략남, #군림녀, #직진녀, #능력녀, #다정남, #고자극로맨스, #궁중로맨스, #역하렘, #로판, #까칠남, #소설원작, #성인웹툰"
mon_15_천재 타자가 강속구를 숨김,"#스포츠, #청춘, #인생역전, #성장물, #고인물, #타임슬립, #야구, #회귀, #힘숨찐, #청춘로맨스, #스포츠성장, #소설원작"
tue_1_괴력 난신,"#무협/사극, #레드아이스 스튜디오, #액션, #세계관, #오컬트, #동양풍판타지, #판무, #먼치킨, #소설원작"
tue_2_김부장,"#액션, #사이다, #자극적인, #시리어스, #가족, #중년, #참교육, #범죄, #격투기, #힘숨찐, #다크히어로, #먼치킨, #느와르"
